OID_,X,Y,Name,Address,Postal_Code,City,Province,Category,Activity,Outdoor
1,-79.41389253,43.12088567,20 Valley Golf Club,3814 Yonge St,L0R 2C0,Vineland,ON,Golf courses and country clubs,Golf,Yes
2,-79.25569752,43.01219061,Abbey Road Woodlot,148 Abbey Rd,L3C 7K9,Welland,ON,Nature parks and other similar institutions,,
3,-79.11187743,43.08093806,888998 Ontario Inc,6442 Ainslie Cres,L2G 5R9,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
4,-79.10324914,43.12269251,A N Myer Secondary School,6338 O'neil St,L2J 1M7,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
5,-79.06795848,43.10263747,Aj Mckinley Park,4507 Simcoe St,L2E 1T9,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
6,-79.5842755,43.1988973,Angelo Giglia Memorial Field @ Peach King Centre (formally Known As Peach King Arena Mini Field),162 Livingston Ave,L3M 4G3,Grimsby,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
7,-79.24789011,43.00615753,Aqueduct Park,155 Gadsby Ave,L3C 1A8,Welland,ON,Nature parks and other similar institutions,Field,Yes
8,-79.25777447,43.16486985,Alexander Mackenzie Sports Park,19 Beech Street,L2R 2B5,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
9,-79.25918993,43.16593005,Alex Mackenzie Sport Park,17 Beech St (Pleasant Ave & Thomas St),L2R 2B6,St. Catharines,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
10,-79.48300984,43.13350304,Beamsville Lions Community Sport Park,5162 Fly Rd,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
11,-79.47412229,43.16810998,Beamsville High School,4317 Central Ave,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
12,-79.80379194,43.12295008,Binbrook Fairgrounds,2600 Hwy 56,L0R 1C0,Binbrook,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
13,-79.24066248,42.98075127,Bemus Park,71 Coventry Rd,L3B 2M3,Welland,ON,Nature parks and other similar institutions,Baseball,Yes
14,-79.25746107,43.18848626,Bill Burgoyne Memorial Arena,129 Linwell Rd,L2N 6H2,St. Catharines,ON,Sports stadiums and other presenters with facilities,"Athletics,Lacrosse,Ice Hockey",
15,-79.24274765,43.09644999,Brock Golfland,2745 Merrittville Hwy,L0S 1E6,Fonthill,ON,Golf courses and country clubs,Golf,Yes
16,-79.27813009,43.00708675,Bridlewood Park,79 Bridlewood Drive,L3C 6N6,Welland,ON,Nature parks and other similar institutions,Field,Yes
17,-79.28928951,43.01101346,Brookhaven Park,135 Brookhaven Crt,L3C 0A4,Welland,ON,Nature parks and other similar institutions,,
18,-79.2433524,42.98940998,Burgar Park,126 Burgar St,L3B 2S8,Welland,ON,Nature parks and other similar institutions,Baseball,Yes
19,-79.26002946,42.89873254,Buckners Source For Sports,474 Main St W,L3K 3W1,Port Colborne,ON,Sports stadiums and other presenters with facilities,Baseball,Yes
20,-79.16285306,43.10724162,Beechwood Golf Cntry Clb Mntc,4465 Beechwood Rd,L2E 6S4,Niagara Falls,ON,Golf courses and country clubs,Golf,Yes
21,-79.08597236,43.11253997,C W Palmer Park,4190 Stanley Ave,L2E 4Z2,Niagara Falls,ON,Sports stadiums and other presenters with facilities,Soccer,Yes
