Name Of Company,Address,Postal Code,City,Province,Category,Latitude,Longitude,Activity,Outdoor
20 Valley Golf Club,3814 Yonge St,L0R 2C0,Vineland,ON,Golf courses and country clubs,43.116114,-79.44259,Golf,Yes
888998 Ontario Inc,6442 Ainslie Cres,L2G 5R9,Niagara Falls,ON,Golf courses and country clubs,43.057531,-79.048102,Golf,Yes
A N Myer Secondary School,6338 O'neil St,L2J 1M7,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.121704,-79.103165,Soccer,Yes
Abbey Road Woodlot,148 Abbey Rd,L3C 7K9,Welland,ON,Nature parks and other similar institutions,42.990416,-79.241105,,
Aj Mckinley Park,4507 Simcoe St,L2E 1T9,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.102914,-79.067516,Soccer,Yes
Alex Mackenzie Sport Park,17 Beech St (Pleasant Ave & Thomas St),L2R 2B6,St. Catharines,ON,Sports stadiums and other presenters with facilities,41.847075,-79.161513,Baseball,Yes
Alexander Mackenzie Sports Park,19 Beech Street,L2R 2B5,St. Catharines,ON,Sports stadiums and other presenters with facilities,43.164655,-79.257462,Baseball,Yes
Angelo Giglia Memorial Field @ Peach King Centre (formally Known As Peach King Arena Mini Field),162 Livingston Ave,L3M 4G3,Grimsby,ON,Sports stadiums and other presenters with facilities,43.200561,-79.583765,Soccer,Yes
Aqueduct Park,155 Gadsby Ave,L3C 1A8,Welland,ON,Nature parks and other similar institutions,43.006368,-79.247999,Field,Yes
Beamsville High School,4317 Central Ave,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,43.166607,-79.47453,Soccer,Yes
Beamsville Lions Community Sport Park,5162 Fly Rd,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,43.165581,-79.4749,Soccer,Yes
Beechwood Golf Cntry Clb Mntc,4465 Beechwood Rd,L2E 6S4,Niagara Falls,ON,Golf courses and country clubs,46.548254,-67.657464,Golf,Yes
Bemus Park,71 Coventry Rd,L3B 2M3,Welland,ON,Nature parks and other similar institutions,42.980761,-79.240019,Baseball,Yes
Bill Burgoyne Memorial Arena,129 Linwell Rd,L2N 6H2,St. Catharines,ON,Sports stadiums and other presenters with facilities,43.188796,-79.256603,"Athletics,Lacrosse,Ice Hockey",
Binbrook Fairgrounds,2600 Hwy 56,L0R 1C0,Binbrook,ON,Sports stadiums and other presenters with facilities,43.109839,-79.755485,Baseball,Yes
Bridlewood Park,79 Bridlewood Drive,L3C 6N6,Welland,ON,Nature parks and other similar institutions,43.004448,-79.277099,Field,Yes
Brock Golfland,2745 Merrittville Hwy,L0S 1E6,Fonthill,ON,Golf courses and country clubs,43.040318,-79.288476,Golf,Yes
Brookhaven Park,135 Brookhaven Crt,L3C 0A4,Welland,ON,Nature parks and other similar institutions,43.011279,-79.289745,,
Buckners Source For Sports,474 Main St W,L3K 3W1,Port Colborne,ON,Sports stadiums and other presenters with facilities,42.898512,-79.25994,Baseball,Yes
Burgar Park,126 Burgar St,L3B 2S8,Welland,ON,Nature parks and other similar institutions,42.989404,-79.242371,Baseball,Yes
C W Palmer Park,4190 Stanley Ave,L2E 4Z2,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.11253,-79.084635,Soccer,Yes
Cataract Bowl,7906 Lundy's Lane,L2H 1H1,Niagara Falls,ON,Bowling centres,43.057531,-79.048102,Bowling,
Centennial Arena,1565 Four Mile Creek Rd,L0S 1T0,Niagara-on-the-lake,ON,Sports stadiums and other presenters with facilities,43.14706,-79.10131,Ice Hockey,
Centennial Arena & Merritton Lions Club,5 Park Ave,L2P 1P9,St. Catharines,ON,Sports stadiums and other presenters with facilities,43.141097,-79.20876,Ice Hockey,
Centennial Centre,5050 Fairgrounds Rd,L0R 1B0,Beamsville,ON,Sports stadiums and other presenters with facilities,44.380527,-64.327116,Ice Hockey,
Chaffey Park,166 Chaffey St,L3B 2Y3,Welland,ON,Nature parks and other similar institutions,42.973684,-79.244544,Field,Yes
Cherry Hill Club Ltd,912 Cherry Hill Blvd,L0S 1N0,Ridgeway,ON,Golf courses and country clubs,42.874782,-79.059035,Golf,Yes
Cherrywood School,4635 Pettit Ave,L2E 6L4,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.057531,-79.048102,Soccer,Yes
Chippawa Lion`s Park Rink,3970 Welland St,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.10766537,-79.05976498,Ice Hockey,
Chippawa Park,123 First Ave,L3C 1Y1,Welland,ON,Sports stadiums and other presenters with facilities,42.998215,-79.260302,Baseball,Yes
Chippawa Willoughby Memorial Arena,9000 Sodom Rd,L2G 3P3,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.047791,-79.056931,Ice Hockey,
Club Italia-osi Of Ont,2525 Montrose Rd,L2E 6S4,Niagara Falls,ON,Sports stadiums and other presenters with facilities,43.057531,-79.048102,Soccer,Yes
Cooks Mills Park,630 Lyons Creek Rd,L3B 5N4,Welland,ON,Nature parks and other similar institutions,42.994073,-79.188601,Baseball,Yes
Coyle Creek Park,271 Creekside Drive,L3C 0B6,Welland,ON,Nature parks and other similar institutions,42.983802,-79.280236,,
Custom Crafted Golf Clubs,455 Merritt Street,L2P 1P2,St. Catharines,ON,Golf courses and country clubs,43.144,-79.214087,Golf,Yes
